Agency,Agency Name
DOE,SCHOOL - NEW YORK CITY ACADEMY FOR DISCOVERY
DOE,SCHOOL - JHS 113 RONALD EDMONDS LEARNING CENTER
DOE,SCHOOL - JHS 166 GEORGE GERSHWIN
DOE,SCHOOL - JHS 166 ROBERTO CLEMENTE
DOE,SCHOOL - PS 70 MAX SCHOENFELD
DOE,SCHOOL - PS 228 EARLY CHILDHOOD MAGNET SCHOOL OF THE ARTS
DOE,SCHOOL - BRONX COALITION COMMUNITY HIGH SCHOOL
DOE,SCHOOL - PS 208 ALAIN L LOCKE
DOE,SCHOOL - PS 38 ROBERTO CLEMENTE
DOE,SCHOOL - PS 21 EDWARD HART
DOE,SCHOOL - PS 72
DOE,SCHOOL - PS 72 DR WILLIAM DORNEY
DOE,SCHOOL - PS 8 LUIS BELLIARD
DOE,SCHOOL - PS 345 PATROLMAN ROBERT BOLDEN
DOE,SCHOOL - BRONX HIGH SCHOOL OF SCIENCE
DOE,SCHOOL - PS 197 THE OCEAN SCHOOL
DOE,SCHOOL - JHS 44 WILLIAM J O'SHEA
DOE,SCHOOL - MS 2
DOE,SCHOOL - PS 282 PARK SLOPE
DOE,SCHOOL - MS K394
DOE,SCHOOL - MEDGAR EVERS COLLEGE PREPARATORY SCHOOL
DOE,SCHOOL - MERRICK ACADEMY CHARTER SCHOOL
